configuration_id,Score
Old,0.777979312
Old,0.603749106
Old,0.673562151
Old,0.746362928
Old,0.746362928
Old,0.746362928
Old,0.746362928
Old,0.746382378
Old,0.752839848
Old,0.752839848
Old,0.752839848
Old,0.824035638
Old,0.365869942
Old,0.439689717
Old,0.619315672
Old,0.747762377
Old,0.701171954
Old,0.598468293
Old,0.627211352
Old,0.662148235
Old,0.749772421
Old,0.744367701
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.997461929
Old,0.873253493
Old,0.842670215
Old,0.866641736
Old,0.875897287
Old,0.885152837
Old,0.886892881
Old,0.886892881
Old,0.886892881
Old,0.886892881
Old,0.887137465
Old,0.887279996
Old,0.990531871
Old,0.71931286
Old,0.79059548
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
New,0.777641919
New,0.628477598
New,0.654965554
New,0.696095921
New,0.70604947
New,0.750826231
New,0.751919594
New,0.752156912
New,0.75239423
New,0.752539943
New,0.752539943
New,0.702784306
New,0.541400821
New,0.541400821
New,0.541400821
New,0.546860586
New,0.559074824
New,0.564888802
New,0.564888802
New,0.564888802
New,0.564888802
New,0.564888802
New,0.955795262
New,0.815295479
New,0.923669863
New,0.954103397
New,0.9607069
New,0.9607069
New,0.9607069
New,0.9607069
New,0.9607069
New,0.9607069
New,0.9607069
New,0.948752495
New,0.82089155
New,0.835077263
New,0.863793279
New,0.865271405
New,0.872074703
New,0.883158106
New,0.887558217
New,0.887558217
New,0.887558217
New,0.887558217
New,0.990506912
New,0.561123838
New,0.804262172
New,0.946092483
New,0.973043181
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
