configuration_id,Score
Old,0.551724138
Old,0.563870245
Old,0.662938276
Old,0.692450721
Old,0.701540554
Old,0.701540554
Old,0.701540554
Old,0.730854712
Old,0.748540335
Old,0.751706061
Old,0.751706061
Old,0.782608696
Old,0.462496629
Old,0.498453842
Old,0.549674943
Old,0.617969568
Old,0.759147297
Old,0.763545178
Old,0.767943058
Old,0.772340939
Old,0.77673882
Old,0.777024682
Old,1
Old,0.861437969
Old,0.854218418
Old,0.946797918
Old,0.997743937
Old,0.997743937
Old,0.997743937
Old,0.997743937
Old,0.997743937
Old,0.997743937
Old,0.997743937
Old,1
Old,0.864670659
Old,0.873599809
Old,0.909780439
Old,0.909780439
Old,0.909780439
Old,0.909780439
Old,0.917158344
Old,0.93222444
Old,0.93222444
Old,0.93222444
Old,1
Old,0.307749775
Old,0.801498242
Old,0.973065367
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
Old,0.991583885
New,0.551724138
New,0.631722574
New,0.653115971
New,0.654663648
New,0.68577237
New,0.725512612
New,0.749415418
New,0.750650298
New,0.750650298
New,0.750650298
New,0.750650298
New,0.826086957
New,0.261741452
New,0.709491499
New,0.506740357
New,0.486151641
New,0.472457854
New,0.532985961
New,0.592077066
New,0.615758957
New,0.639440848
New,0.64711378
New,1
New,0.865163351
New,0.923105847
New,0.9607069
New,0.9607069
New,0.9607069
New,0.9607069
New,0.997743937
New,0.997743937
New,0.997743937
New,0.997743937
New,1
New,0.415533889
New,0.820612801
New,0.820990223
New,0.859379028
New,0.887558217
New,0.887558217
New,0.887558217
New,0.887558217
New,0.887558217
New,0.887558217
New,1
New,0.333988735
New,0.615438782
New,0.916253058
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
New,0.9915617
